,Index,Instance,DominantPairs,SmallerBetterPairs,CapacityFraction,CapFracDistanceFromOneHalf,CorrelationCoefficient,ApproximationGap,CoeffVarWeights,CoeffVarProfits,CoeffVarEffics,PossibleItemFixProportion,SubsetSumLikeness,ModBalasZemelMeasure,MaxCardinality,MinCardinality,CardinalityGap,FirstWeight,FirstProfit,PolyfitLinear,PolyfitQuadratic,PolyfitCubic,BeforeAfterSplitRatio,EvenOddLikeness,GreedyUnusedCapacity,ReducedDominantPairs,ReducedSmallerBetterPairs,ReducedCapacityFraction,ReducedCapFracDistanceFromOneHalf,ReducedCorrelationCoefficient,ReducedApproximationGap,ReducedCoeffVarWeights,ReducedCoeffVarProfits,ReducedCoeffVarEffics,ReducedSubsetLikeness,ReducedModBalasZemelMeasure,ReducedMaxCardinality,ReducedMinCardinality,ReducedCardinalityGap,ReducedFirstWeight,ReducedFirstProfit,ReducedPolyfitLinear,ReducedPolyfitQuadratic,ReducedPolyfitCubic,ReducedBeforeAfterSplitRatio,ReducedGreedyUnusedCapacity,algo_Expknap,algo_Minknap,algo_Combo,Source,Label,X
30,31,0_knapPI_2_100_1000000_1_new,0.495353535,0.744242424,0.006248907,0.987502187,0.023938814,0.033654421,0.336084895,0.341099098,0.474169804,0.97,0.01,1.54E-05,0.09,0,0.09,0.004316473,0,0.000573067,0.000608146,0.007996901,0.02166941,0.1,0.263051583,0,0,0.12179189,0.75641622,0.999180695,0.036231932,0.334946597,0.342493982,0.00420506,0.333333333,0.002753663,0.666666667,0,0.666666667,0.237886538,0.222791728,0.998362061,1,1,0,0.001211036,1.36E-06,0.000186484,0.000189858,Pisinger_large_coff,0,0
31,32,0_knapPI_2_2000_1000000_1_new,0.503614807,0.748370185,0.000312764,0.999374471,-0.009543719,0.068773761,0.335902778,0.34145272,0.599623241,0.9965,0.0005,5.61E-06,0.019,0,0.019,0.000771327,0,9.11E-05,9.90E-05,0.000565855,0.005430821,0.005,0.941704372,0.095238095,0.714285714,0.262255268,0.475489463,0.995634108,0.099226637,0.329565797,0.302405551,0.024740284,0.142857143,0.002620703,0.571428571,0.142857143,0.428571429,0.150792967,0.208048349,0.991287276,0.993004958,0.993512787,0.187167042,0.075823912,1.26E-05,0.000198473,0.000199875,Pisinger_large_coff,0,0
32,33,0_knapPI_2_200_10000_1_new,0.530502513,0.75959799,0.000783783,0.998432433,-0.093555426,0.309033483,0.329304688,0.339073827,0.383600189,0.975,0.005,4.20E-05,0.03,0,0.03,0.007211538,0,0.008752618,0.009300709,0.021549873,0.008374643,0.05,0.647929248,0.2,0.9,0.500387297,0.000774593,0.879332705,0.465979867,0.326987173,0.132338744,0.044013903,0.2,0.003003568,0.8,0.2,0.6,0.284536082,0.606482759,0.773226006,0.784166717,0.859778243,0.647583618,0.049013595,2.53E-06,0.000189412,0.000190461,Pisigner_small_coff,0,0
33,34,0_knapPI_2_500_10000000_1_new,0.49802004,0.765482966,0.003428805,0.99314239,-0.000639265,0.184233275,0.343164868,0.346274855,0.735218542,0.958,0.002,5.21E-05,0.066,0,0.066,0.00038708,0,4.09E-07,0.015106062,0.018829504,0.017665723,0.02,0.950267492,0.1,0.580952381,0.518336247,0.036672494,0.936326483,0.185692095,0.404070831,0.383838799,0.155030005,0.047619048,0.002558697,0.80952381,0.238095238,0.571428571,0.005845406,0.055964622,0.876707283,0.878813912,0.890366693,0.531725517,0.489829762,3.81E-06,0.000190475,0.000190421,Pisinger_large_coff,0,0
34,35,0_knapPI_2_50_1000_1_new,0.576326531,0.765714286,0.020523739,0.958952523,-0.228086297,0.038381963,0.383625023,0.396203787,0.352336021,0.94,0.02,1.59E-05,0.16,0,0.16,0.009045226,0,0.052023359,0.054434278,0.054519603,0.049847926,0.2,0,0.333333333,0.666666667,0.6884273,0.376854599,0.988337987,0.305137793,0.157437216,0.157236988,0.005741198,0.333333333,0.025513684,1,0.333333333,0.666666667,0.648275862,0.646586345,0.976811976,1,1,0.25,0.063451035,1.77E-06,0.000186603,0.000191062,Pisigner_small_coff,0,0
35,36,0_knapPI_3_1000_100000_1_new,0.490814815,0.789047047,0.000208172,0.999583656,0.027500598,0.228653245,0.33378158,0.286402266,0.826649993,0.992,0.001,1.59E-05,0.016,0,0.016,0.000190053,0,0.000756283,0.00300909,0.003025623,0.004248237,0.01,0,0.071428571,0.678571429,0.456820623,0.086358754,0.948643531,0.242015926,0.452188114,0.409339506,0.125652958,0.125,0.002546466,0.75,0.125,0.625,0.053220208,0,0.899924549,0.90526306,0.918264521,0.5,0,8.51E-05,0.00026858,0.000227905,Pisinger_large_coff,0,0
36,37,0_knapPI_3_100_10000_1_new,0.500808081,0.772525253,0.0027862,0.9944276,-0.004605799,0.416927463,0.325316334,0.283671322,0.355357291,0.94,0.01,9.84E-05,0.06,0,0.06,0.007211538,0,2.12E-05,0.001609073,0.001953361,0.017665723,0.1,0.685240255,0.333333333,0.866666667,0.293399751,0.413200498,0.534241609,0.467728654,0.241910213,0.112275542,0.058894489,0.166666667,0.002653967,0.5,0.166666667,0.333333333,0.319127849,0.622408334,0.285414097,0.785403948,0.823089976,0.25,0.039978877,6.84E-06,0.000193174,0.000191611,Pisigner_small_coff,0,0
37,38,0_knapPI_3_2000_10000_1_new,0.487097049,0.788706853,0.000149912,0.999700175,0.039404677,0.141998585,0.338569148,0.289959201,0.606360253,0.9935,0.0005,7.66E-06,0.011,0,0.011,0.00070021,0,0.001552729,0.004314453,0.004379938,0.002752357,0.005,0.185547158,0.038461538,0.551282051,0.487012987,0.025974026,0.97602256,0.144308145,0.302698936,0.300913278,0.044779597,0.076923077,0.003168349,0.692307692,0.307692308,0.384615385,0.077586207,0.113852694,0.952620038,0.954827814,0.971975338,0.447431543,0.047657259,0.000194572,0.000366906,0.000260694,Pisigner_small_coff,0,0
38,39,0_knapPI_3_200_10000000_1_new,0.505628141,0.784824121,0.010811501,0.978376997,-0.0234583,0.122147951,0.33187636,0.285759563,0.414905393,0.96,0.005,6.44E-05,0.105,0.005,0.1,0.003630031,0,0.000550292,0.000582654,0.00165002,0.03479717,0.05,0.978652183,0.071428571,0.464285714,0.237104907,0.525790185,0.97988031,0.124465206,0.294381903,0.29963355,0.023845819,0.125,0.003351318,0.5,0,0.5,0.228117014,0.237718702,0.960165421,0.964695205,0.985059181,0.147583618,0.020342992,3.36E-06,0.000188958,0.000190079,Pisinger_large_coff,0,0
39,40,0_knapPI_3_500_1000_1_new,0.486364729,0.774517034,0.002300378,0.995399243,0.044218842,0.174070157,0.331091264,0.285716311,0.36257182,0.972,0.002,3.86E-05,0.046,0,0.046,0.003006012,0,0.001955306,0.003341064,0.003593702,0.01383085,0.02,0.094786285,0.10989011,0.527472527,0.515942029,0.031884058,0.95347274,0.185382185,0.260028703,0.260243545,0.017957829,0.071428571,0.00314263,0.714285714,0.357142857,0.357142857,0.197530864,0.193986421,0.909110266,0.934226323,0.93423195,0.5,0.094786285,2.71E-05,0.000201712,0.000199862,Pisigner_small_coff,0,0
40,41,0_knapPI_3_50_1000000_1_new,0.491428571,0.748571429,0.016446046,0.967107907,0.03057379,0.171499013,0.262506324,0.245092251,0.335882391,0.92,0.02,0.000190929,0.12,0,0.12,0.015290777,0,0.000934757,0.021927099,0.03493998,0.030224067,0.2,0.391674241,0.166666667,0.333333333,0.145377824,0.709244352,0.954448216,0.222288598,0.216670148,0.251025448,0.022123227,0.25,0.002796002,0.5,0,0.5,0.379679612,0.297302614,0.910971397,0.953581984,1,0,0.003733562,3.36E-06,0.000185853,0.000194074,Pisinger_large_coff,0,0
41,42,0_knapPI_4_1000_10000_1_new,0.478124124,0.693871872,8.16E-05,0.999836893,0.066242489,0.379880753,0.290709725,0.339718763,0.127289373,0.981,0.001,0.00011266,0.001,0,0.001,0.091628753,0,0.004388067,0.007520743,0.008082476,0,0.01,0.870552228,0.333333333,0.532163743,0.020520415,0.958959171,0.475979304,0.409518584,0.079315348,0.110124238,0.021064819,0.052631579,0.002615152,0.052631579,0,0.052631579,0.66751269,0.592856372,0.226556298,0.239329801,0.393691208,0,0.560957294,6.51E-05,0.000216629,0.000197569,Pisigner_small_coff,0,0
42,43,0_knapPI_4_100_10000000_1_new,0.484444444,0.711515152,0.016716937,0.966566126,0.049103268,0.08882053,0.290608206,0.348123368,0.11842877,0.96,0.01,6.65E-05,0.08,0,0.08,0.094977908,0,0.002411131,0.004316885,0.005152848,0.017665723,0.1,0.981372843,0.166666667,0.333333333,0.71049234,0.42098468,0.986019128,0.090112489,0.275557577,0.305335751,0.016614418,0.25,0.002783276,1,0.5,0.5,0.389319519,0.323482683,0.97223372,0.984117772,1,0.5,0.024465811,4.85E-06,0.000188783,0.000188743,Pisinger_large_coff,0,0
43,44,0_knapPI_4_2000_100000_1_new,0.4814007,0.704243122,3.97E-06,0.999992052,0.054597908,0.04484161,0.282628962,0.329257762,0.130567507,0.998,0.0005,1.13E-05,0.0005,0,0.0005,0.091105009,0,0.002980932,0.003212241,0.003212531,0,0.005,0.870552228,0.166666667,0.833333333,0.011528953,0.976942094,0.973444941,0.045154164,0.023283571,0.01980471,0.001203798,0.25,0.006083186,0.25,0,0.25,0.915478801,0.927538276,0.947595053,0.956638796,1,0,0.020440694,1.45E-05,0.000197038,0.000197386,Pisinger_large_coff,0,0
